DOI,DOI -- 746
10.3390/w8090385,10.3390/w8090385
10.1016/j.rse.2016.05.016,10.1016/j.rse.2016.05.016
10.3959/1536-1098-73.1.53,10.3959/1536-1098-73.1.53
10.1002/joc.5084,10.1002/joc.5084
10.1016/j.syapm.2016.11.007,10.1016/j.syapm.2016.11.007
10.5194/acp-17-6477-2017,10.5194/acp-17-6477-2017
10.1007/s00382-016-3081-z,10.1007/s00382-016-3081-z
10.4067/S0718-10432017005000003,10.4067/S0718-10432017005000003
10.1007/s11625-016-0400-6,10.1007/s11625-016-0400-6
10.1371/journal.pone.0179705,10.1371/journal.pone.0179705
10.5194/acp-17-7111-2017,10.5194/acp-17-7111-2017
10.1007/s12237-017-0241-2,10.1007/s12237-017-0241-2
10.1016/j.agwat.2017.01.006,10.1016/j.agwat.2017.01.006
10.1175/JHM-D-16-0004.1,10.1175/JHM-D-16-0004.1
10.5194/hess-21-1455-2017,10.5194/hess-21-1455-2017
,
10.1017/laq.2016.8,10.1017/laq.2016.8
10.1002/hyp.11035,10.1002/hyp.11035
10.1111/jvs.12475,10.1111/jvs.12475
10.1007/s10113-016-1010-7,10.1007/s10113-016-1010-7
10.3390/su9050810,10.3390/su9050810
10.1080/00934690.2017.1322874,10.1080/00934690.2017.1322874
10.1175/JHM-D-16-0073.1,10.1175/JHM-D-16-0073.1
10.1002/ecs2.1640,10.1002/ecs2.1640
10.1016/j.envpol.2017.02.069,10.1016/j.envpol.2017.02.069
10.5194/hess-21-1295-2017,10.5194/hess-21-1295-2017
10.3390/su9112053,10.3390/su9112053
10.5194/acp-17-10093-2017,10.5194/acp-17-10093-2017
10.4185/RLCS-2017-1216,10.4185/RLCS-2017-1216
10.15446/rcs.v40n2.66402,10.15446/rcs.v40n2.66402
10.3390/rs9070681,10.3390/rs9070681
10.1016/j.atmosenv.2017.07.002,10.1016/j.atmosenv.2017.07.002
10.5194/bg-14-4795-2017,10.5194/bg-14-4795-2017
10.5194/hess-21-6307-2017,10.5194/hess-21-6307-2017
10.1371/journal.pone.0180661,10.1371/journal.pone.0180661
10.1007/s00703-017-0555-4,10.1007/s00703-017-0555-4
10.2989/16085914.2017.1334621,10.2989/16085914.2017.1334621
10.1073/pnas.1705168114,10.1073/pnas.1705168114
10.1002/2017GL074150,10.1002/2017GL074150
10.5194/gmd-10-4035-2017,10.5194/gmd-10-4035-2017
10.3390/su9101831,10.3390/su9101831
10.1175/JHM-D-17-0005.1,10.1175/JHM-D-17-0005.1
10.1371/journal.pone.0181759,10.1371/journal.pone.0181759
10.1038/s41598-017-13761-x,10.1038/s41598-017-13761-x
10.1016/j.foreco.2017.06.020,10.1016/j.foreco.2017.06.020
10.1175/2017BAMSStateoftheClimate.1,10.1175/2017BAMSStateoftheClimate.1
10.1016/j.quaint.2017.07.010,10.1016/j.quaint.2017.07.010
10.4067/S0717-92002017000100012,10.4067/S0717-92002017000100012
10.1016/j.icarus.2018.01.003,10.1016/j.icarus.2018.01.003
10.3389/feart.2017.00077,10.3389/feart.2017.00077
10.5194/gmd-10-4081-2017,10.5194/gmd-10-4081-2017
10.1002/jqs.2948,10.1002/jqs.2948
10.5354/0719-0527.2017.47269,10.5354/0719-0527.2017.47269
10.1016/j.enpol.2017.03.016,10.1016/j.enpol.2017.03.016
10.1525/elementa.314,10.1525/elementa.314
10.1093/femsle/fny090,10.1093/femsle/fny090
10.3389/fmicb.2018.02353,10.3389/fmicb.2018.02353
10.1016/j.syapm.2018.05.006,10.1016/j.syapm.2018.05.006
10.5194/hess-22-5817-2018,10.5194/hess-22-5817-2018
10.1016/j.scitotenv.2018.09.237,10.1016/j.scitotenv.2018.09.237
10.1525/elementa.329,10.1525/elementa.329
10.1111/jbi.13428,10.1111/jbi.13428
10.1016/j.atmosres.2018.05.011,10.1016/j.atmosres.2018.05.011
10.1126/sciadv.aat8785,10.1126/sciadv.aat8785
10.1002/joc.5186,10.1002/joc.5186
10.1186/s40663-018-0147-x,10.1186/s40663-018-0147-x
10.5194/acp-18-10615-2018,10.5194/acp-18-10615-2018
10.1007/s13280-018-1084-1,10.1007/s13280-018-1084-1
10.1007/s10584-018-2246-7,10.1007/s10584-018-2246-7
10.1002/2017JD027796,10.1002/2017JD027796
10.1038/s41467-018-06036-0,10.1038/s41467-018-06036-0
10.18352/ijc.856,10.18352/ijc.856
10.1515/johh-2017-0041,10.1515/johh-2017-0041
10.1007/s00382-017-4015-0,10.1007/s00382-017-4015-0
10.1016/j.scitotenv.2018.05.119,10.1016/j.scitotenv.2018.05.119
10.4209/aaqr.2017.01.0022,10.4209/aaqr.2017.01.0022
10.5194/bg-14-4795-2017,10.5194/bg-14-4795-2017
10.1016/j.ecss.2018.10.020,10.1016/j.ecss.2018.10.020
10.1016/j.jmarsys.2018.06.001,10.1016/j.jmarsys.2018.06.001
10.1038/s41396-018-0268-9,10.1038/s41396-018-0268-9
10.5194/hess-22-2921-2018,10.5194/hess-22-2921-2018
10.5194/tc-12-1069-2018,10.5194/tc-12-1069-2018
10.1016/j.palaeo.2018.03.031,10.1016/j.palaeo.2018.03.031
10.1073/pnas.1802859115,10.1073/pnas.1802859115
10.1007/s00300-018-2411-5,10.1007/s00300-018-2411-5
10.1525/elementa.293,10.1525/elementa.293
10.1002/joc.5426,10.1002/joc.5426
10.3354/cr01505,10.3354/cr01505
10.1080/17518369.2018.1468195,10.1080/17518369.2018.1468195
10.1016/j.foreco.2018.11.041,10.1016/j.foreco.2018.11.041
10.1016/j.envsc1.2017.11.006,10.1016/j.envsc1.2017.11.006
10.5194/we-18-7-2018,10.5194/we-18-7-2018
10.1016/j.atmosenv.2018.01.049,10.1016/j.atmosenv.2018.01.049
10.1002/ecs2.2300,10.1002/ecs2.2300
10.3389/fmicb.2018.02039,10.3389/fmicb.2018.02039
10.5194/gmd-11-2209-2018,10.5194/gmd-11-2209-2018
10.1016/j.envsci.2018.05.002,10.1016/j.envsci.2018.05.002
10.1098/rstb.2017.0300,10.1098/rstb.2017.0300
10.1016/j.envpol.2018.01.085,10.1016/j.envpol.2018.01.085
10.1007/s11869-018-0549-5,10.1007/s11869-018-0549-5
10.5194/gmd-11-1033-2018,10.5194/gmd-11-1033-2018
10.1038/s41598-018-19461-4,10.1038/s41598-018-19461-4
10.1007/s11625-018-0619-5,10.1007/s11625-018-0619-5
10.1016/j.dendro.2018.10.004,10.1016/j.dendro.2018.10.004
10.1016/j.atmosenv.2018.06.043,10.1016/j.atmosenv.2018.06.043
10.1371/journal.pone.0201195,10.1371/journal.pone.0201195
10.4067/S0717-92002018000200265,10.4067/S0717-92002018000200265
10.1016/j.erss.2018.08.004,10.1016/j.erss.2018.08.004
10.1038/s41598-018-21836-6,10.1038/s41598-018-21836-6
10.1126/science.aan5360,10.1126/science.aan5360
10.1016/j.icarus.2018.01.002,10.1016/j.icarus.2018.01.002
10.1175/2018BAMSStateoftheClimate.1,10.1175/2018BAMSStateoftheClimate.1
10.1080/16000870.2018.1481690,10.1080/16000870.2018.1481690
10.1016/j.quascirev.2018.08.001,10.1016/j.quascirev.2018.08.001
10.1016/j.sedgeo.2018.01.002,10.1016/j.sedgeo.2018.01.002
10.1016/j.gloplacha.2018.05.013,10.1016/j.gloplacha.2018.05.013
10.4067/S0717-73562018000200169,10.4067/S0717-73562018000200169
10.11144/Javeriana.ayd21-41.spcc,10.11144/Javeriana.ayd21-41.spcc
10.1111/fwb.13182,10.1111/fwb.13182
10.1073/pnas.1708174115,10.1073/pnas.1708174115
10.1002/2017JD027309,10.1002/2017JD027309
10.3389/fenrg.2018.00134,10.3389/fenrg.2018.00134
10.1007/s10668-018-0271-3,10.1007/s10668-018-0271-3
10.4067/S0717-554X2018000200182,10.4067/S0717-554X2018000200182
10.1002/ecs2.2171,10.1002/ecs2.2171
10.1016/j.foreco.2018.08.027,10.1016/j.foreco.2018.08.027
10.1016/j.quaint.2018.09.016,10.1016/j.quaint.2018.09.016
10.1175/MWR-D-17-0227.1,10.1175/MWR-D-17-0227.1
10.1002/2017JG003907,10.1002/2017JG003907
10.1175/JHM-D-18-0006.1,10.1175/JHM-D-18-0006.1
10.5194/bg-15-5891-2018,10.5194/bg-15-5891-2018
10.1007/s10745-018-9995-9,10.1007/s10745-018-9995-9
10.3390/atmos9080304,10.3390/atmos9080304
10.1007/s11356-018-1415-6,10.1007/s11356-018-1415-6
10.3389/fenrg.2018.00134,10.3389/fenrg.2018.00134
10.1525/elementa.328,10.1525/elementa.328
10.1525/elementa.340,10.1525/elementa.340
10.1007/s00382-018-4573-9,10.1007/s00382-018-4573-9
10.1016/j.jag.2018.11.013,10.1016/j.jag.2018.11.013
10.1002/ecs2.2485,10.1002/ecs2.2485
10.5194/acp-19-459-2019,10.5194/acp-19-459-2019
10.1130/G45642.1,10.1130/G45642.1
10.1017/RDC.2018.81,10.1017/RDC.2018.81
10.1007/s13280-019-01149-2,10.1007/s13280-019-01149-2
10.1007/s11024-019-09369-2,10.1007/s11024-019-09369-2
10.1016/j.landusepol.2019.01.042,10.1016/j.landusepol.2019.01.042
10.1016/j.gloplacha.2019.02.011,10.1016/j.gloplacha.2019.02.011
10.1016/j.scitotenv.2019.03.037,10.1016/j.scitotenv.2019.03.037
10.1038/s41598-019-39312-0,10.1038/s41598-019-39312-0
10.1029/2018GL081475,10.1029/2018GL081475
10.2489/jswc.74.1.12,10.2489/jswc.74.1.12
10.1002/ecy.2584,10.1002/ecy.2584
10.11144/Javeriana.cdr15-81.ebct,10.11144/Javeriana.cdr15-81.ebct
10.1016/j.scitotenv.2019.03.037,10.1016/j.scitotenv.2019.03.037
10.1038/s41598-019-39312-0,10.1038/s41598-019-39312-0
10.1029/2018GL081475,10.1029/2018GL081475
10.2489/jswc.74.1.12,10.2489/jswc.74.1.12
10.11144/Javeriana.cdr15-81.ebct,10.11144/Javeriana.cdr15-81.ebct
10.1002/ecy.2584,10.1002/ecy.2584
10.1029/2018PA003465,10.1029/2018PA003465
10.1007/s40641-019-00125-y,10.1007/s40641-019-00125-y
10.1016/j.ecolind.2019.03.046,10.1016/j.ecolind.2019.03.046
10.1073/pnas.1811463116,10.1073/pnas.1811463116
10.1371/journal.pone.0213572,10.1371/journal.pone.0213572
10.3389/fmars.2019.00157,10.3389/fmars.2019.00157
10.1017/qua.2018.122,10.1017/qua.2018.122
