N;Funding Year;Línea de Investigación;Research Lines;Año;Autores;Título;Revista;Ficha de Publicación;DOI;ISSN;Abstract;Acceso;Páginas;Volumen;Index
11.0;2013;Modelación y Sistemas de Observación;MOS;2013;Rojas, M.;Sensitivity of Southern Hemisphere circulation to LGM and 4 × CO2 climates;Geophysical Research Letters;;10.1002/grl.50195;0094-8276;There is growing recognition that routine climate change framing is insufficient for addressing the challenges presented by this change, and that different framings of climate change shape stakeholders' practices and guide policy options. This research investigated how stakeholders conceptualise climate change in terms of its seriousness and related uncertainty, and a resilience approach as a possible policy option to confront this uncertainty. An application of the conceptual framework provided by Handmer and Dovers' typology of emergencies is novel to the climate change field. Results show that there is a tendency to frame climate change as complex (with uncertainty representing part of that complexity) and to confront this complexity with less complex policies and solutions. No pattern of a conceptual link between uncertainty and resilience was observed. The results presented in this study offer empirical evidence to inform theory and provide helpful insights to inform policy design and practice.;http://onlinelibrary.wiley.com/doi/10.1002/grl.50195/abstract;965-970;vol.40 is.5;Thomson Reuters ISI
12.0;2013;Modelación y Sistemas de Observación;MOS;2013;Rojas, M., Li, L. Z., Kanakidou, M., Hatzianastassiou, N., Seze, G., & Treut, H. L.;Winter weather regimes over the Mediterranean region: their role for the regional climate and projected changes in the twenty-first century;Climate Dynamics;;10.1007/s00382-013-1823-8;0930-7575;This paper explores the use of active and passive microwave satellite soil moisture products for improving streamflow prediction within four large (>5000km2) semiarid catchments in Australia. We use the probability distributed model (PDM) under a data-scarce scenario and aim at correcting two key controlling factors in the streamflow generation: the rainfall forcing data and the catchment wetness condition. The soil moisture analysis rainfall tool (SMART) is used to correct a near real-time satellite rainfall product (forcing correction scheme) and an ensemble Kalman filter is used to correct the PDM soil moisture state (state correction scheme). These two schemes are combined in a dual correction scheme and we assess the relative improvements of each. Our results demonstrate that the quality of the satellite rainfall product is improved by SMART during moderate-to-high daily rainfall events, which in turn leads to improved streamflow prediction during high flows. When employed individually, the soil moisture state correction scheme generally outperforms the rainfall correction scheme, especially for low flows. Overall, the combined dual correction scheme further improves the streamflow predictions (reduction in root mean square error and false alarm ratio, and increase in correlation coefficient and Nash-Sutcliffe efficiency). Our results provide new evidence of the value of satellite soil moisture observations within data-scarce regions. We also identify a number of challenges and limitations within the schemes.;http://link.springer.com/article/10.1007/s00382-013-1823-8;551-571;vol.41 is.3;Thomson Reuters ISI
13.0;2013;Servicios Ecosistémicos;ECO;2013;Swanson, F. J., Jones, J. A., Crisafulli, C. M., & Lara, A.;Effects of volcanic and hydrologic processes on forest vegetation: Chaitén Volcano, Chile;Andean Geology;;10.5027/andgeoV40n2-a10;0718-7106;"Global warming is expected to enhance radial tree growth at alpine treeline sites worldwide. We developed a well-replicated tree-ring chronology from Nothofagus pumilio near treeline in a high precipitation climate on Choshuenco Volcano (40°S) in Chile to examine: (a) variation in tree radial growth in relation to interannual climatic variability; and (b) relationships of radial growth to variability in El Niño Southern Oscillation (ENSO) and the Antarctic Oscillation (AAO) at interannual and decadal time scales. A tree-ring chronology based on 99 tree-ring series from 80 N. pumilio trees near treeline showed a high series intercorrelation (0.48) indicating a strong common environmental signal. Radial growth is negatively correlated with precipitation in late spring (November-December). Temperature and tree growth are positively correlated during late spring and early summer (November-January). Interannual variability in both seasonal climate and in tree growth is strongly teleconnected to ENSO and AAO variability. Radial growth of N. pumilio in this humid high-elevation forest does not show a positive trend over the past half century as predicted from global treeline theory and broadscale warming in the Patagonian-Andean region. Instead, tree growth increased sharply from the 1960s to a peak in the early 1980s but subsequently declined for c. 30years to its lowest level in >100years. The shift to higher radial growth after c. 1976 coincides with a shift towards warmer sea surface temperatures in the tropical Pacific which in turn are associated with warmer growing season temperatures. The decline in tree growth since the mid-1990s is coincident with the increasingly positive phase of the AAO and high spring precipitation periods associated with El Niño conditions. The recent shift towards reduced growth of N. pumilio at this humid high-elevation site coincident with rising AAO mirrors the reduced tree growth beginning in the 1960s for trees growing in relatively xeric, lower elevation sites throughout the Patagonian-Andean region. The current study indicates that N. pumilio growth response in humid high-elevation environments to recent broad-scale warming has been non-linear, and that AAO and ENSO are key climatic forcings of tree growth variability.";http://www.andeangeology.cl/index.php/revista1/article/view/2710;359-391;vol.40 is.2;Thomson Reuters ISI
14.0;2013;Modelación y Sistemas de Observación;MOS;2013;Zickfeld, K., Eby, M., Weaver, A. J., Alexander, K., Crespin, E., Edwards, N. R., Shaffer, G., … Zhao, F.;Long-Term Climate Change Commitment and Reversibility: An EMIC Intercomparison;Journal of Climate;;10.1175/JCLI-D-12-00584.1;0894-8755;In 2013, the international Commission on Atmospheric Chemistry and Global Pollution (iCACGP) and the International Global Atmospheric Chemistry (IGAC) Project Americas Working Group (iCACGP/IGAC AWG) was formed to build a cohesive network and foster the next generation of atmospheric scientists with the goal of contributing to a scientific community focused on building collective knowledge for the Americas. The Latin America–Caribbean (LAC) region shares common history, culture, and socioeconomic issues but, at the same time, it is highly diverse in its physical and human geography. The LAC region is unique because approximately 80% of its population lives in urban areas, resulting in high-density hotspots of urbanization and vast unpopulated rural areas. In recent years, most countries of the region have experienced rapid growth in population and industrialization as their economies emerge. The rapid urbanization, the associated increases in mobile and industrial sources, and the growth of the agricultural activities related to biomass burning have degraded air quality in certain areas of the LAC region. Air pollution has negative implications for human health, ecosystems, and climate. In addition, air pollution and the warming caused by greenhouse gases could impact the melting of Andean glaciers, an important source of freshwater. To better understand the links between air pollution and climate, it is necessary to increase the number of atmospheric scientists and improve our observational, analytical, and modeling capacities. This requires sustained and prioritized funding as well as stronger collaboration within the LAC region.;http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-12-00584.1;5782-5809;vol.26 is.16;Thomson Reuters ISI
15.0;2013;Dinámica del Clima;CD;2014;Aguirre, C., Garreaud, R., & Rutllant, J. A.;Surface ocean response to synoptic-scale variability in wind stress and heat fluxes off south-central Chile;Dynamics of Atmospheres and Oceans;;10.1016/j.dynatmoce.2013.11.001;0377-0265;Our observational analysis shows that the wet seasons of the American monsoon systems have shortened since 1978 due to correlated earlier retreats of the North American monsoon (NAM) and late onsets of the southern Amazon wet season, an important part of the South American monsoon (SAM). These changes are related to the combination of the global sea surface temperature (SST) warming mode, the El Niño-Southern Oscillation (ENSO), the Atlantic Multidecadal Oscillation (AMO), the westward shift of the North Atlantic subtropical high (NASH), and the enhancement of Pacific South American and Pacific North American wave train patterns, which induces variations of the regional circulation at interannual and decadal scales. The joint contributions from these forcing factors are associated with a stronger and more equatorward regional Hadley cell, which enhances convergence towards the equator, strengthening and possibly delaying the retreat of the tropical part of the NAM. This in turn accelerates the demise of the northern NAM and delays the reversal of the cross-equatorial flow over South America, reducing moisture transport to the SAM and delaying its onset. In addition, the thermodynamic response to warming appears to cause local drier land conditions over both regions, reinforcing the observed changes in these monsoons. Although previous studies have identified the isolated influence of the regional Hadley cell, ENSO, AMO, global SST warming, and NASH on the NAM, the correlated changes between NAM and SAM through variations of the cross-equatorial flow had not been established before.;http://linkinghub.elsevier.com/retrieve/pii/S0377026513000699;64-85;vol.65;Thomson Reuters ISI
16.0;2013;"Dinámica del Clima; Servicios Ecosistémicos";CD, ECO;2013;Ahmed, M., Anchukaitis, K. J., Asrat, A., Borgaonkar, H. P., Christie, D.A., Lara, A., … Zorita, E.;Continental-scale temperature variability during the past two millennia;Nature Geoscience;;10.1038/NGEO1797;1752-0894;"From 18 to 27 March 2015, northern, central, and southern Chile experienced a series of extreme hydrometeorological events. First, the highest surface air temperature ever recorded in Santiago (with reliable records dating to 1877), 36.8°C at Quinta Normal, was measured at 15:47 local time on 20 March 2015. Immediately following this high heat event, an extreme precipitation event, with damaging streamflows from precipitation totals greater than 45 mm, occurred in the semiarid and hyperarid Atacama regions. Finally, concurrent with the heavy precipitation event, extremely warm temperatures were recorded throughout southern Chile. These events were examined from a synoptic perspective with the goal of identifying forcing mechanisms and potential interaction between each analysis which provides operational context by which to identify and predict similar events in the future. Primary findings were as follows: (1) record warm temperatures in central Chile resulted from anomalous lower troposphere ridging and easterly downslope flow, both of which developed in response to an anomalous midtroposphere ridge-trough pattern; (2) a cutoff low with anomalous heights near one standard deviation below normal slowly moved east and was steered ashore near 25°S by circulation around a very strong ridge (anomalies more than 3 standard deviations above normal) centered near 60°S; (3) anomalously high precipitable water content (20 mm above climatological norms) over the Peruvian Bight region was advected southward and eastward ahead of the cutoff low by low-level northwesterly flow, greatly enhancing observed precipitation over northern Chile.";http://www.nature.com/ngeo/journal/v6/n5/full/ngeo1797.html;339-346;vol.6 is.5;Thomson Reuters ISI
17.0;2013;Dimensión Humana;HD;2014;Aldunce, P., Beilin, R., Handmer, J., & Howden, M.;Framing disaster resilience: The implications of the diverse conceptualisations of “bouncing back”;Disaster Prevention and Management;;10.1108/DPM-07-2013-0130;0965-3562;This paper is a pioneering analysis of past climates in southern South America combining multiproxy reconstructions and the state-of-the-art CMIP5/PMIP3 paleoclimatic models to investigate the time evolution of regional climatic conditions from the Mid-Holocene (MH) to the present. This analysis allows a comparison between the impact of the long term climate variations associated with insolation changes and the more recent effects of anthropogenic forcing on the region. The PMIP3 multimodel experiments suggest that changes in precipitation over almost all southern South America between MH and pre-industrial (PI) times due to insolation variations are significantly larger than those between PI and the present, which are due to changes in greenhouse gas concentrations. Anthropogenic forcing has been particularly intense over western Patagonia inducing reduction of precipitation in summer, autumn and winter as a consequence of progressively weaker westerly winds over the region, which have moved further poleward, between ca. 35–55°S and have become stronger south of about 50°S. Orbital variations between the MH to the PI period increased insolation over southern South America during summer and autumn inducing warmer conditions in the PI, accentuated by the effect of anthropogenic forcing during the last century. On the other hand, changes in orbital parameters from the MH to the PI period reduced insolation during winter and spring inducing colder conditions, which have been reversed by the anthropogenic forcing.;http://www.emeraldinsight.com/doi/full/10.1108/DPM-07-2013-0130;252-270;vol.23 is.3;Thomson Reuters ISI
18.0;2013;Biogeoquímica;BGQ;2013;Daniel, I., DeGrandpre, M., & Farías, L.;Greenhouse gas emissions from the Tubul-Raqui estuary (central Chile 36°S);Estuarine, Coastal and Shelf Science;;10.1016/j.ecss.2013.09.019;0272-7714;Chapter 2. GLOBAL CLIMATE, Section 9. Monitoring global drought using the self-calibrating Palmer drought severity index. J. Osborn.,  J. Barichivich, I. Harris,  G. van der Schrier, and P. D. Jones;http://www.sciencedirect.com/science/article/pii/S0272771413004265;31-44;vol.134;Thomson Reuters ISI
19.0;2013;"Biogeoquímica; Modelación y Sistemas de Observación";BGQ, MOS;2014;Escribano, J., Gallardo, L., Rondanelli, R., & Choi, Y. S.;Satellite Retrievals of Aerosol Optical Depth over a Subtropical Urban Area: The Role of Stratification and Surface Reflectance;Aerosol and Air Quality Research;;10.4209/aaqr.2013.03.0082;1680-8584;The vulnerability of Amazonian rainforest, and the ecological services it provides, depends on an adequate supply of dry-season water, either as precipitation or stored soil moisture. How the rain-bearing South American monsoon will evolve across the twenty-first century is thus a question of major interest. Extensive savanization, with its loss of forest carbon stock and uptake capacity, is an extreme although very uncertain scenario. We show that the contrasting rainfall projections simulated for Amazonia by 36 global climate models (GCMs) can be reproduced with empirical precipitation models, calibrated with historical GCM data as functions of the large-scale circulation. A set of these simple models was therefore calibrated with observations and used to constrain the GCM simulations. In agreement with the current hydrologic trends, the resulting projection towards the end of the twenty-first century is for a strengthening of the monsoon seasonal cycle, and a dry-season lengthening in southern Amazonia. With this approach, the increase in the area subjected to lengthy - savannah-prone - dry seasons is substantially larger than the GCM-simulated one. Our results confirm the dominant picture shown by the state-of-the-art GCMs, but suggest that the â € model democracy'view of these impacts can be significantly underestimated.;http://www.aaqr.org/Doi.php?id=2_AAQR-13-03-OA-0082&v=14&i=3&m=4&y=2014;596-607;vol.14 is.3;Thomson Reuters ISI
20.0;2013;Biogeoquímica;BGQ;2013;Farías, L., Faúndez, J., Fernández, C., Cornejo, M., Sanhueza, S., & Carrasco, C.;Biological N2O fixation in the Eastern South Pacific Ocean and marine cyanobacterial cultures.;PloS one;;10.1371/journal.pone.0063956;1932-6203;Within large uncertainties in the precipitation response to greenhouse gas forcing, the Southeast Pacific drying stands out as a robust signature within climate models. A precipitation decline, of consistent direction but of larger amplitude than obtained in simulations with historical climate forcing, has been observed in central Chile since the late 1970s. To attribute the causes of this trend, we analyze local rain gauge data and contrast them to a large ensemble of both fully coupled and sea surface temperature-forced simulations. We show that in concomitance with large-scale circulation changes, the Pacific Decadal Oscillation explains about half of the precipitation trend observed in central Chile. The remaining fraction is unlikely to be driven exclusively by natural phenomena but rather consistent with the simulated regional effect of anthropogenic climate change. We particularly estimate that a quarter of the rainfall deficit affecting this region since 2010 is of anthropogenic origin. An increased persistence and recurrence of droughts in central Chile emerges then as a realistic scenario under the current socioeconomic pathway.;http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0063956;art63956;vol.8 is.5;Thomson Reuters ISI
21.0;2013;Biogeoquímica;BGQ;2013;Florez-Leiva, L., Damm, E., & Farías, L.;Methane production induced by dimethylsulfide in surface water of an upwelling ecosystem;Progress in Oceanography;;10.1016/j.pocean.2013.03.005;0079-6611;"In theory, building resilience is touted as one way to deal with climate change impacts; however, in practice, there is a need to examine how contexts influence the capacity of building resilience. A participatory process was carried out through workshops in regions affected by drought in Chile in 2014. The aim was to explore how resilience theory can be better applied and articulated into practice vis-á-vis participatory approaches that enrich the research process through the incorporation of co-produced. The results show that there are more differences in responses by type of actor than between regions, where issues of national interest, such as ‘education-information’ and ‘preparedness’, are highlighted over others. However, historically relevant local topics emerged as differentiators: decentralisation, and political will. This reinforces why special attention must be given to the different understandings in knowledge co-production processes. This study provides evidence and lessons on the importance of incorporating processes of the co-production of knowledge as a means to better articulate and transfer abstract concepts, such as resilience theory, into practice.";http://www.sciencedirect.com/science/article/pii/S007966111300030X;38-48;vol.112-113;Thomson Reuters ISI
