N;Funding Year;Report 4.5;Manual Tags;Research Lines;Publication Year;Author original;Author;File Attachments;Link Attachments;Manual Tags.1;Lines Collaboration;N.1;Title of publication;Journal;Volume;Pages;Year;CR2 ;Researchers;Principal Researchers;Full time Researchers;Associate Researchers;Adjoint Researchers;Postdoc.;Undergraduated Students;Graduated Students;FONDAP;FONDECYT;FONDEF;BASAL;ICM;OTHER (especify);ESPECIFY;Journal Name;ISSN;Name Check;Sub Category;Journal Rank;% Journal Rank;Is it top 10 in category;Journal Impact Factor;5 year Journal Impact Factor;Scimago Quartile;Copy for Cites Title;Copy for Cites DOI;DOI WOS;WOS Title;Total Citations 2017;Total Citations;Average per Year;c2012;c2013;c2014;c2015;c2016;c2017;c2018;c2019;c2020;c2021;c2022;DOI AFF;AFF Countries;AFF Institutions;TI WOS;Control doi diff;Int collaboration;Nat collab;N° collaboration national WOS;N° collaboration national SCOPUS;CR2;OTHER (specify)
124.0;2016;si;Biogeoquímica;BGQ;2016;"Díez, Beatriz; Nylander, Johan A. A.; Ininbergs, Karolina; Dupont, Christopher L.; Allen, Andrew E.; Yooseph, Shibu; Rusch, Douglas B.; Bergman, Birgitta";Díez, B., Nylander, J. A. A., Ininbergs, K., Dupont, C. L., Allen, A. E., Yooseph, S., … Bergman, B.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/diez_et_al_2016_metagenomic_analysis_of_the_indian_ocean_picocyanobacterial_community.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/XKB8BPRX/article.html";;Biogeoquímica;1.0;124.0;Metagenomic Analysis of the Indian Ocean Picocyanobacterial Community: Structure, Potential Function and Evolution;PloS one;vol.11 is.5;art0155757;2016;0.0;;;;;;;;;;;;;;;;PloS one;1932-6203;PLOS ONE;Multidisciplinary Sciences;11/63;17,4603174603175%;0;3,057;3,535;Q1;Metagenomic Analysis of the Indian Ocean Picocyanobacterial Community: Structure, Potential Function and Evolution;10.1371/journal.pone.0155757;10.1371/journal.pone.0155757;Metagenomic Analysis of the Indian Ocean Picocyanobacterial Community: Structure, Potential Function and Evolution;2.0;5;1,67;0;0;0;0;0;2;3;;;;;10.1371/journal.pone.0155757;{United States, Sweden, Chile};"{Department of Molecular Genetic and Microbiology, Faculty of Biological Sciences, Pontificia Universidad Católica de Chile, Alameda 340, Casilla 114-D, C.P. 651 3677, Santiago, Chile; Science for Life Laboratory, Department of Ecology, Environment and Plant Sciences, Stockholm University, Box 1031, Solna, 17121, Sweden; Center for Climate Change and Resilience Research (CR)2, Santiago, Chile; BILS/Department of Bioinformatics and Genetics, Swedish Museum of Natural History, Box 50003, Stockholm, SE-10405, Sweden; Microbial and Environmental Genomics, J. Craig Venter Institute, San Diego, CA  92037, United States; Integrative Oceanography Division, Scripps Institution of Oceanography, University of California San Diego, San Diego, CA  92037, United States; Informatics Group, J. Craig Venter Institute, San Diego, CA  92037, United States; Informatics Group, J. Craig Venter Institute, Rockville, MD  20850, United States; Center for Genomics and Bioinformatics, Indiana University, Bloomington, IN  47401, United States}";Metagenomic analysis of the Indian Ocean picocyanobacterial community: Structure, potential function and evolution;TRUE;1;1;2;2;;
125.0;2016;si;Modelación y Sistemas de Observación;MOS;2016;"Escribano, Jerónimo; Boucher, Olivier; Chevallier, Frédéric; Huneeus, Nicolás";Escribano, J., Boucher, O., Chevallier, F., & Huneeus, N.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/escribano_et_al_2016_subregional_inversion_of_north_african_dust_sources.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/64SVP2X9/abstract;jsessionid=18F012168D3BBE7BF01EA299A175A5DC.html";;Modelación y Sistemas de Observación;1.0;125.0;Subregional inversion of North African dust sources;Journal of Geophysical Research: Atmospheres;vol.121 is.14;8549-8566;2016;0.0;;;;;;;;;;;;;;;;Journal of Geophysical Research: Atmospheres;0148-0227;J GEOPHYS RES;Geosciences, Multidisciplinary;27/184;14,6739130434783%;0;3,318;3,651;Q1;Subregional inversion of North African dust sources;10.1002/2016JD025020;10.1002/2016JD025020;Subregional inversion of North African dust sources;4.0;7;2,33;0;0;0;0;1;3;3;;;;;10.1002/2016JD025020;{Chile, France};"{Laboratoire de Météorologie Dynamique, Université Pierre et Marie Curie/CNRS, Paris, France; Laboratoire des Sciences du Climat et de l’Environnement, CEA, Saclay, France; Geophysics Department, University of Chile, Santiago, Chile; Center for Climate and Resilience Research, Santiago, Chile}";Subregional inversion of North African dust sources;TRUE;1;1;2;2;;
126.0;2016;si;Biogeoquímica, Modelación y Sistemas de Observación;BGQ, MOS;2016;"Gallardo, Laura; Henríquez, Adolfo; Thompson, Anne M.; Rondanelli, Roberto; Carrasco, Jorge; Orfanoz-Cheuquelaf, Andrea; Velásquez, Patricio";Gallardo, L., Henríquez, A., Thompson, A. M., Rondanelli, R., Carrasco, J., Orfanoz-Cheuquelaf, A., & Velásquez, P.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/gallardo_et_al_2016_the_first_twenty_years_(1994–2014)_of_ozone_soundings_from_rapa_nui_(27°s,.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/57R2XRDG/29484.html";;Modelación y Sistemas de Observación;2.0;126.0;The first twenty years (1994–2014) of ozone soundings from Rapa Nui (27°S, 109°W, 51 m a.s.l.);Tellus B: Chemical and Physical Meteorology;vol.68 is.1;art29484;2016;0.0;;;;;;;;;;;;;;;;Tellus B: Chemical and Physical Meteorology;0280-6509;TELLUS B;Meteorology & Atmospheric Sciences;29/84;34,5238095238095%;0;2,402;3,366;Q2;The first twenty years (1994–2014) of ozone soundings from Rapa Nui (27°S, 109°W, 51 m a.s.l.);10.3402/tellusb.v68.29484;10.3402/tellusb.v68.29484;The first twenty years (1994-2014) of ozone soundings from Rapa Nui (27 degrees S, 109 degrees W, 51 m a.s.l.);0.0;2;0,67;0;0;0;0;0;0;2;;;;;10.3402/tellusb.v68.29484;{United States, Chile};"{Departamento de Geofísica de la Universidad de Chile, Blanco Encalada 2002, piso 4, Santiago, Chile; Center for Climate and Resilience Research (CR2), Blanco Encalada 2002, Santiago, Chile; NASA/Goddard Space Flight Center Atmospheric Chemistry and Dynamics Lab, GreenbeltMD  20771, United States; Universidad de Magallanes, Ave. Bulnes 08155, Punta Arenas, Chile; Dirección Meteorológica de Chile, Av. Portales No. 3450, Estación Central, Santiago, Chile}";The first twenty years (1994-2014) of ozone soundings from Rapa Nui (27°S, 109°W, 51m a.s.l.);TRUE;1;1;4;4;;
127.0;2016;si;Dinámica del Clima;CD;2016;"Garreaud, R.; Falvey, M.; Montecinos, A.";Garreaud, R., Falvey, M., & Montecinos, A.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/garreaud_et_al_2016_orographic_precipitation_in_coastal_southern_chile.pdf;;Dinámica del Clima;1.0;127.0;Orographic Precipitation in Coastal Southern Chile: Mean Distribution, Temporal Variability, and Linear Contribution;Journal of Hydrometeorology;vol.17 is.4;1185-1202;2016;0.0;;;;;;;;;;;;;;;;Journal of Hydrometeorology;1525-755X;J HYDROMETEOROL;Meteorology & Atmospheric Sciences;16/84;19,047619047619%;0;3,511;4,303;Q1;Orographic Precipitation in Coastal Southern Chile: Mean Distribution, Temporal Variability, and Linear Contribution;10.1175/JHM-D-15-0170.1;10.1175/JHM-D-15-0170.1;Orographic Precipitation in Coastal Southern Chile: Mean Distribution, Temporal Variability, and Linear Contribution;1.0;7;2,33;0;0;0;0;0;1;6;;;;;10.1175/JHM-D-15-0170.1;{Chile};"{Department of Geophysics, Universidad de Chile, Santiago, Chile; Center for Climate and Resilience Research, Universidad de Chile, Santiago, Chile; Department of Geophysics, Universidad de Concepción, Concepción, Chile; Centro de Recursos Hídricos para la Agricultura y Minería, Universidad de Concepción, Concepción, Chile}";Orographic precipitation in coastal southern Chile: Mean distribution, temporal variability, and linear contribution;TRUE;0;1;4;4;;
128.0;2016;si;Servicios Ecosistémicos;ECO;2016;"Gómez-González, Susana; Ojeda, Fernando; Torres-Morales, Patricio; Palma, Jazmín E.";Gómez-González, S., Ojeda, F., Torres-Morales, P., & Palma, J. E.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/gomez-gonzalez_et_al_2016_seed_pubescence_and_shape_modulate_adaptive_responses_to_fire_cues.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/5BW8DREB/article.html";;Servicios Ecosistémicos;1.0;128.0;Seed Pubescence and Shape Modulate Adaptive Responses to Fire Cues;PloS one;vol.11 is.7;art0159655;2016;0.0;;;;;;;;;;;;;;;;PloS one;1932-6203;PLOS ONE;Multidisciplinary Sciences;11/63;17,4603174603175%;0;3,057;3,535;Q1;Seed Pubescence and Shape Modulate Adaptive Responses to Fire Cues;10.1371/journal.pone.0159655;10.1371/journal.pone.0159655;Seed Pubescence and Shape Modulate Adaptive Responses to Fire Cues;3.0;4;1,33;0;0;0;0;0;3;1;;;;;10.1371/journal.pone.0159655;{Spain, Chile};"{Centre for Science and Resilience Research (CR), Universidad de Chile, Santiago de Chile, Chile; Departamento de Biología-IVAGRO, Universidad de Cádiz, Campus Río San Pedro, Puerto Real, Spain; Instituto de Ciencias Ambientales Y Evolutivas, Universidad Austral de Chile, Valdivia, Chile}";Seed pubescence and shape modulate adaptive responses to fire cues;TRUE;1;1;2;2;;
129.0;2016;si;Modelación y Sistemas de Observación;MOS;2016;"Huneeus, N.; Basart, S.; Fiedler, S.; Morcrette, J.-J.; Benedetti, A.; Mulcahy, J.; Terradellas, E.; Pérez García-Pando, C.; Pejanovic, G.; Nickovic, S.; Arsenovic, P.; Schulz, M.; Cuevas, E.; Baldasano, J. M.; Pey, J.; Remy, S.; Cvetkovic, B.";Huneeus, N., Basart, S., Fiedler, S., Morcrette, J.-J., Benedetti, A., Mulcahy, J., … Cvetkovic, B.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/huneeus_et_al_2016_forecasting_the_northern_african_dust_outbreak_towards_europe_in_april_2011.pdf;;Modelación y Sistemas de Observación;1.0;129.0;Forecasting the northern African dust outbreak towards Europe in April 2011: a model intercomparison;Atmospheric Chemistry and Physics;vol.16 is.8;4967-4986;2016;0.0;;;;;;;;;;;;;;;;Atmospheric Chemistry and Physics;1680-7316;ATMOS CHEM PHYS;Meteorology & Atmospheric Sciences;6/84;7,14285714285714%;1;5,114;5,626;Q1;Forecasting the northern African dust outbreak towards Europe in April 2011: a model intercomparison;10.5194/acp-16-4967-2016;10.5194/acp-16-4967-2016;Forecasting the northern African dust outbreak towards Europe in April 2011: a model intercomparison;6.0;13;4,33;0;0;0;0;1;5;7;;;;;10.5194/acp-16-4967-2016;{United States, Serbia, France, United Kingdom, Germany, Chile, Switzerland, Norway, Spain};"{Laboratoire de Météorologie Dynamique, IPSL, CNRS/UPMC, Paris, France; Department of Geophysics, Center for Climate and Resilience Research, University of Chile, Santiago, Chile; Earth Sciences Department, Barcelona Supercomputing Center, BSC-CNS, Barcelona, Spain; School of Earth and Environment, University of Leeds, Leeds, United Kingdom; Institute of Meteorology and Climate Research, Karlsruhe Institute of Technology, Karlsruhe, Germany; European Centre for Medium-Range Weather Forecasts, Reading, United Kingdom; Met Office, FitzRoy Road, Exeter, EX1 3PB, United Kingdom; Meteorological State Agency of Spain (AEMET), Barcelona, Spain; NASA Goddard Institute for Space Studies, New York, United States; Department of Applied Physics and Applied Math, Columbia University, New York, United States; National Hydrometeorological Service, Belgrade, Serbia; Institute of Environmental Assessment, Water Research Spanish Research Council, Barcelona, Spain; Institute for Atmospheric and Climate Science, ETH, Zürich, Switzerland; Norwegian Meteorological Institute, Oslo, Norway; Izaña Atmospheric Research Center, State Meteorological Agency of Spain (AEMET), Santa Cruz de Tenerife, Spain; Environmental Modelling Laboratory, Technical University of Catalonia, Barcelona, Spain; Geological Survey of Spain (IGME), Zaragoza, Spain; Max Planck Institute for Meteorology, Hamburg, Germany}";Forecasting the northern African dust outbreak towards Europe in April 2011: A model intercomparison;TRUE;1;1;2;1;;
130.0;2016;si;Servicios Ecosistémicos;ECO;2016;"J Alaniz, Alberto; Galleguillos, Mauricio; Perez-Quezada, Jorge F.";J. Alaniz, A., Galleguillos, M., & Perez-Quezada, J. F.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/j_alaniz_et_al_2016_assessment_of_quality_of_input_data_used_to_classify_ecosystems_according_to.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/T7RHFZI8/S0006320716306954.html";;"NEW; Servicios Ecosistémicos";1.0;130.0;Assessment of quality of input data used to classify ecosystems according to the IUCN Red List methodology: The case of the central Chile hotspot;Biological Conservation;vol.204;378-385;2016;0.0;;;;;;;;;;;;;;;;Biological Conservation;0006-3207;BIOL CONSERV;Environmental Sciences;31/225;13,7777777777778%;0;3,985;4,748;Q1;Assessment of quality of input data used to classify ecosystems according to the IUCN Red List methodology: The case of the central Chile hotspot;10.1016/j.biocon.2016.10.038;10.1016/j.biocon.2016.10.038;Assessment of quality of input data used to classify ecosystems according to the IUCN Red List methodology: The case of the central Chile hotspot;4.0;6;2;0;0;0;0;0;4;2;;;;;10.1016/j.biocon.2016.10.038;{Chile};"{Department of Environmental Science and Renewable Natural Resources, University of Chile, Santiago, Chile; Laboratory of Fragmented Landscapes Ecology, Department of Animal Biological Science, University of Chile, Santiago, Chile; Center for Climate and Resilience Research (CR2), University of Chile, Santiago, Chile; Institute of Ecology and Biodiversity (IEB), Santiago, Chile}";Assessment of quality of input data used to classify ecosystems according to the IUCN Red List methodology: The case of the central Chile hotspot;TRUE;0;1;4;4;;
131.0;2016;si;Servicios Ecosistémicos;ECO;2016;"Jiménez-Muñoz, Juan C.; Mattar, Cristian; Barichivich, Jonathan; Santamaría-Artigas, Andrés; Takahashi, Ken; Malhi, Yadvinder; Sobrino, José A.; Schrier, Gerard van der";Jiménez-Muñoz, J. C., Mattar, C., Barichivich, J., Santamaría-Artigas, A., Takahashi, K., Malhi, Y., … Schrier, G. van der.;/home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/JMGNQ27Q/srep33130.html;;Dinámica del Clima;1.0;131.0;Record-breaking warming and extreme drought in the Amazon rainforest during the course of El Niño 2015–2016;Scientific Reports;vol.6;art33130;2016;0.0;;;;;;;;;;;;;;;;Scientific Reports;2045-2322;SCI REP-UK;Multidisciplinary Sciences;7/63;11,1111111111111%;0;5,228;5,525;Q1;Record-breaking warming and extreme drought in the Amazon rainforest during the course of El Niño 2015–2016;10.1038/srep33130;10.1038/srep33130;Record-breaking warming and extreme drought in the Amazon rainforest during the course of El Nino 2015-2016;17.0;57;19;0;0;0;0;0;17;40;;;;;10.1038/srep33130;{United States, Netherlands, Chile, France, United Kingdom, Peru, Spain};"{Global Change Unit, Image Processing Laboratory, University of Valencia, C/Catedrático José Beltrán 2, Paterna, Valencia, 46980, Spain; Laboratory for the Analysis of the Biosphere, Department of Environmental Sciences and Renewable Natural Resources, University of Chile, Av. Santa Rosa, Santiago, 11315, Chile; Instituto de Conservación, Biodiversidad y Territorio, Universidad Austral de Chile, Valdivia, Chile; Center for Climate and Resilience Research, Universidad de Chile, Santiago, Chile; Laboratoire des Sciences du Climat et de l'Environnement, Gif-sur-Yvette, 91191, France; School of Geography, University of Leeds, Leeds, LS2 9JT, United Kingdom; Department of Geographical Sciences, University of Maryland, College Park, MD  20742, United States; Instituto Geofísico Del Perú, Lima, Peru; School of Geography and the Environment, University of Oxford, South Parks Road, Oxford, OX13QY, United Kingdom; Royal Netherlands Meteorological Institute (KNMI), Netherlands}";Record-breaking warming and extreme drought in the Amazon rainforest during the course of El Niño 2015-2016;TRUE;1;1;3;3;;
132.0;2016;si;Dimensión Humana;HD;2016;"Laterra, Pedro; Barral, Paula; Carmona, Alejandra; Nahuelhual, Laura";Laterra, P., Barral, P., Carmona, A., & Nahuelhual, L.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/laterra_et_al_2016_focusing_conservation_efforts_on_ecosystem_service_supply_may_increase.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/GXJVX69E/article.html";;Dimensión Humana;1.0;132.0;Focusing Conservation Efforts on Ecosystem Service Supply May Increase Vulnerability of Socio-Ecological Systems;PloS one;vol.11 is.5;art0155019;2016;0.0;;;;;;;;;;;;;;;;PloS one;1932-6203;PLOS ONE;Multidisciplinary Sciences;11/63;17,4603174603175%;0;3,057;3,535;Q1;Focusing Conservation Efforts on Ecosystem Service Supply May Increase Vulnerability of Socio-Ecological Systems;10.1371/journal.pone.0155019;10.1371/journal.pone.0155019;Focusing Conservation Efforts on Ecosystem Service Supply May Increase Vulnerability of Socio-Ecological Systems;3.0;8;2,67;0;0;0;0;0;3;4;;;;;10.1371/journal.pone.0155019;{Argentina, Chile};"{Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Fundación Bariloche, Av. Bustillo 9500, San Carlos de Bariloche, 8400, Argentina; Instituto Nacional de Tecnología Agropecuaria (INTA, EEA Balcarce), CC 276, Buenos Aires, 7620, Argentina; Center for Climate and Resilience Research (CR2), Santiago, Chile; Instituto de Economía Agraria, Universidad Austral de Chile, Casilla 567, Valdivia, Chile; Centro de Investigación: Dinámica de Ecosistemas Marinos de Altas Latitudes (IDEAL), Santiago, Chile}";Focusing conservation efforts on ecosystem service supply may increase vulnerability of socio-ecological systems;TRUE;1;1;3;3;;
133.0;2016;si;Dinámica del Clima;CD;2016;"Lima, Mauricio; Christie, Duncan A.; Santoro, M. Calogero; Latorre, Claudio";Lima, M., Christie, D. A., Santoro, M. C., & Latorre, C.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/lima_et_al_2016_coupled_socio-environmental_changes_triggered_indigenous_aymara_depopulation_of.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/CXU4B9BM/article.html";;Dinámica del Clima;1.0;133.0;Coupled Socio-Environmental Changes Triggered Indigenous Aymara Depopulation of the Semiarid Andes of Tarapacá-Chile during the Late 19th-20th Centuries;PloS one;vol.11 is.8;art0160580;2016;0.0;;;;;;;;;;;;;;;;PloS one;1932-6203;PLOS ONE;Multidisciplinary Sciences;11/63;17,4603174603175%;0;3,057;3,535;Q1;Coupled Socio-Environmental Changes Triggered Indigenous Aymara Depopulation of the Semiarid Andes of Tarapacá-Chile during the Late 19th-20th Centuries;10.1371/journal.pone.0160580;10.1371/journal.pone.0160580;Coupled Socio-Environmental Changes Triggered Indigenous Aymara Depopulation of the Semiarid Andes of Tarapaca-Chile during the Late 19th-20th Centuries;0.0;1;0,33;0;0;0;0;0;0;1;;;;;10.1371/journal.pone.0160580;{Chile};"{Departamento de Ecología, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile, Santiago, Chile; Center of Applied Ecology and Sustainability (CAPES), Santiago, Chile; Laboratorio Internacional de Cambio Global (CSIC-PUC), Santiago, Chile; Laboratorio de Dendrocronología y Cambio Global, Instituto de Conservación, Biodiversidad y Territorio, Universidad Austral de Chile, Valdivia, Chile; Center for Climate and Resilience Research (CR)2, Santiago, Chile; Laboratorio de Arqueología y Paleoambiente, Instituto de Alta de Investigación, Universidad de Tarapacá, Arica, Chile; Centro Del Desierto de Atacama, Pontificia Universidad Católica de Chile, Santiago, Chile; Institute of Ecology and Biodiversity (IEB), Santiago, Chile}";Coupled socio-environmental changes triggered indigenous Aymara depopulation of the semiarid Andes of Tarapacá-Chile during the late 19th-20th centuries;TRUE;0;1;8;8;;
134.0;2016;si;Dinámica del Clima;CD;2016;"Masiokas, M. H.; Christie, D. A.; Le Quesne, C.; Pitte, P.; Ruiz, L.; Villalba, R.; Luckman, B. H.; Berthier, E.; Nussbaumer, S. U.; González-Reyes, Á.; McPhee, J.; Barcaza, G.";Masiokas, M. H., Christie, D. A., Le Quesne, C., Pitte, P., Ruiz, L., McPhee, J., … Barcaza, G.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/masiokas_et_al_2016_reconstructing_the_annual_mass_balance_of_the_echaurren_norte_glacier_(central.pdf;;Dinámica del Clima;1.0;134.0;Reconstructing the annual mass balance of the Echaurren Norte glacier (Central Andes, 33.5° S) using local and regional hydroclimatic data;The Cryosphere;vol.10 is.2;927-940;2016;0.0;;;;;;;;;;;;;;;;The Cryosphere;1994-0416;CRYOSPHERE;Geosciences, Multidisciplinary;7/184;3,80434782608696%;1;4,906;5,178;Q1;Reconstructing the annual mass balance of the Echaurren Norte glacier (Central Andes, 33.5° S) using local and regional hydroclimatic data;10.5194/tc-10-927-2016;10.5194/tc-10-927-2016;Reconstructing the annual mass balance of the Echaurren Norte glacier (Central Andes, 33.5 degrees S) using local and regional hydroclimatic data;5.0;8;2,67;0;0;0;0;1;4;3;;;;;10.5194/tc-10-927-2016;{Canada, Switzerland, Argentina, Chile, France};"{Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales (IANIGLA), CCT- CONICET Mendoza, C. C. 330, Mendoza, 5500, Argentina; Laboratorio de Dendrocronología y Cambio Global, Instituto de Conservación Biodiversidad y Territorio, Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile, Valdivia, Chile; Center for Climate and Resilience Research (CR2), Santiago, Chile; Department of Geography, University of Western Ontario, London, Canada; LEGOS, CNRS, Université de Toulouse, Toulouse, France; Department of Geography, University of Zurich, Zurich, Switzerland; Department of Geosciences, University of Fribourg, Fribourg, Switzerland; Departamento de Geología, Facultad de Ciencias Físicas y Matemáticas, Universidad de Chile, Santiago, Chile; Departamento de Ingeniería Civil, Facultad de Ciencias Físicas y Matemáticas, Universidad de Chile, Santiago, Chile; Dirección General de Aguas (DGA), Santiago, Chile}";Reconstructing the annual mass balance of the Echaurren Norte glacier (Central Andes, 33.5° S) using local and regional hydroclimatic data;TRUE;1;1;5;5;;
135.0;2016;si;Modelación y Sistemas de Observación;MOS;2016;"Moisset de Espanés, P.; Osses, A.; Rapaport, I.";Moisset de Espanés, P., Osses, A., & Rapaport, I.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/moisset_de_espanes_et_al_2016_fixed-points_in_random_boolean_networks.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/5CRNK9FK/S0303264716302520.html";;"Modelación y Sistemas de Observación; NEW";1.0;135.0;Fixed-points in random Boolean networks: The impact of parallelism in the Barabási–Albert scale-free topology case;Biosystems;vol.150;167-176;2016;0.0;;;;;;;;;;;;;;;;Biosystems;0303-2647;BIOSYSTEMS;Biology;40/86;46,5116279069767%;0;1,495;1,62;Q2;Fixed-points in random Boolean networks: The impact of parallelism in the Barabási–Albert scale-free topology case;10.1016/j.biosystems.2016.10.003;10.1016/j.biosystems.2016.10.003;Fixed-points in random Boolean networks: The impact of parallelism in the Barabasi-Albert scale-free topology case;5.0;5;1,67;0;0;0;0;0;5;0;;;;;10.1016/j.biosystems.2016.10.003;{Chile};"{Center for Mathematical Modeling (UMI 2807 CNRS), FCFM, Universidad de Chile, Beauchef, Santiago  851, Chile; Departamento de Ingeniería Matemática, FCFM, Universidad de Chile, Beauchef, Santiago  851, Chile; Center for Biotechnology and Bioengineering, FCFM, Universidad de Chile, Beauchef, Santiago  851, Chile}";Fixed-points in random Boolean networks: The impact of parallelism in the Barabási–Albert scale-free topology case;TRUE;0;1;3;3;;
136.0;2016;si;Biogeoquímica;BGQ;2016;"Moreno-Pino, Mario; Iglesia, Rodrigo De la; Valdivia, Nelson; Henríquez-Castilo, Carlos; Galán, Alexander; Díez, Beatriz; Trefault, Nicole";Moreno-Pino, M., Iglesia, R. D. la, Valdivia, N., Henríquez-Castilo, C., Galán, A., Díez, B., & Trefault, N.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/moreno-pino_et_al_2016_variation_in_coastal_antarctic_microbial_community_composition_at_sub-mesoscale.pdf; ; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/VUUH6ERQ/fiw088.html";http://www.ncbi.nlm.nih.gov/pubmed/27127198;Biogeoquímica;1.0;136.0;Variation in coastal Antarctic microbial community composition at sub-mesoscale: spatial distance or environmental filtering?;FEMS Microbiology Ecology;vol.92 is.7;fiw088;2016;0.0;;;;;;;;;;;;;;;;FEMS Microbiology Ecology;0168-6496;FEMS MICROBIOL ECOL;Microbiology;37/123;30,0813008130081%;0;3,53;4,004;Q2;Variation in coastal Antarctic microbial community composition at sub-mesoscale: spatial distance or environmental filtering?;10.1093/femsec/fiw088;10.1093/femsec/fiw088;Variation in coastal Antarctic microbial community composition at sub-mesoscale: spatial distance or environmental filtering?;3.0;4;1,33;0;0;0;0;0;3;1;;;;;10.1093/femsec/fiw088;{Chile};"{Center for Genomics and Bioinformatics, Faculty of Sciences, Universidad Mayor, Camino La Pirámide 5750, Santiago, 8580745, Chile; Department of Molecular Genetics and Microbiology, Pontificia Universidad Católica de Chile, Alameda 340, Santiago, 8331150, Chile; Millennium Institute of Ocenography, Cabina 7 Barrio Universitario s/n, Concepción, 4030000, Chile; Instituto de Ciencias Marinas y Limnológicas, Facultad de Ciencias, Universidad Austral de Chile, Campus Isla Teja, Valdivia, 5090000, Chile; Centro de Investigación FONDAP: Dinámica de Ecosistemas Marinos de Altas Latitudes (IDEAL), Campus Isla Teja, Valdivia, 5090000, Chile; Department of Oceanography, Universidad de Concepción, Cabina 7, Barrio Universitario s/n, Concepción, 4030000, Chile; CREA - Centro Regional de Estudios Ambientales, Universidad Católica de la Santísima Concepción, Av. Colón 2766, Talcahuano, 4270789, Chile; Center for Climate and Resilience Research (CR)2, Blanco Encalada 22002, Santiago, 8370449, Chile}";Variation in coastal Antarctic microbial community composition at sub-mesoscale: Spatial distance or environmental filtering?;TRUE;0;1;8;8;;
